# Auto-generated by harness/gen-types.py from reference/valkey/src/*.{c,h}
# DO NOT hand-edit. To refine the suggested Rust mapping, change C_TO_RUST
# in the generator. To add new canonical Rust types, edit type-vocabulary.tsv.
#
# Total struct types: 346
# Columns (tab-separated):
#   c_name        C type identifier (typedef name preferred)
#   c_tag         struct tag (when typedef used `struct X { ... } Y;`)
#   file          where defined
#   line          line number
#   n_fields      number of parsed fields
#   fields_brief  first 5 fields as `type:name` (truncated)
#   rust_mapping  suggested Rust type or 'TODO(architect)'

ValkeyModuleKeyOptCtx	ValkeyModuleKeyOptCtx	module.c	438	2	struct serverObject *from_key, *:to_key; int from_dbid,:to_dbid	TODO(architect): assign canonical Rust type
ValkeyModuleAsyncRMCallPromise	ValkeyModuleAsyncRMCallPromise	module.c	494	9	size_t:ref_count; void *:private_data; ValkeyModule *:module; ValkeyModuleOnUnblocked:on_unblocked; client *:c; ...	TODO(architect): assign canonical Rust type
moduleClusterReceiver	moduleClusterReceiver	module.c	9557	4	uint64_t:module_id; ValkeyModuleClusterMessageReceiver:callback; struct ValkeyModule *:module; struct moduleClusterReceiver *:next	TODO(architect): assign canonical Rust type
moduleClusterNodeInfo	moduleClusterNodeInfo	module.c	9564	4	int:flags; char:ip; int:port; char:primary_id	TODO(architect): assign canonical Rust type
ValkeyModuleTimer	ValkeyModuleTimer	module.c	9873	4	ValkeyModule *:module; ValkeyModuleTimerProc:callback; void *:data; int:dbid	TODO(architect): assign canonical Rust type
EventLoopData	EventLoopData	module.c	10043	3	ValkeyModuleEventLoopFunc:rFunc; ValkeyModuleEventLoopFunc:wFunc; void *:user_data	TODO(architect): assign canonical Rust type
EventLoopOneShot	EventLoopOneShot	module.c	10049	2	ValkeyModuleEventLoopOneShotFunc:func; void *:user_data	TODO(architect): assign canonical Rust type
ScanCBData		module.c	11868	3	ValkeyModuleCtx *:ctx; void *:user_data; ValkeyModuleScanCB:fn	TODO(architect): assign canonical Rust type
ValkeyModuleScanCursor	ValkeyModuleScanCursor	module.c	11874	2	unsigned long long:cursor; int:done	TODO(architect): assign canonical Rust type
ScanKeyCBData		module.c	11991	3	ValkeyModuleKey *:key; void *:user_data; ValkeyModuleScanKeyCB:fn	TODO(architect): assign canonical Rust type
